id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6Qw2JmzSRWNxgysJLo7pXK,0.354,0.129,124.042,0.048,0.784,0.837,4,0.841,4,123871,-9.987,0.394,0
6iEEf0a4KOHbOsbJ4TslLY,0.36,0.124,84.896,0.159,0.926,0.95,4,0.681,11,129820,-9.901,0.417,0
34buaMEM4YjE8xsbX1L7PL,0.371,0.0911,154.084,0.0578,0.386,0.886,3,0.682,5,148924,-13.432,0.559,1
4vAz4u1ThUJULhu7wySGrs,0.403,0.0769,92.981,0.366,0.424,0.567,4,0.861,0,154839,-9.388,0.813,1
5pEWbaagNCVwabOEPrEy1m,0.301,0.368,160.015,0.12,0.919,0.784,4,0.733,3,138000,-8.049,0.744,0
7d7y2JnDs6YyEF7615uW7E,0.221,0.0932,69.848,0.055,0.681,0.811,4,0.649,1,92143,-16.424,0.577,1
2i0fkV4Sly4EUwyc5W8KSJ,0.201,0.101,73.978,0.0509,0.466,0.831,4,0.743,10,126486,-15.814,0.36,0
5HzOxWnen6pE6l9KbSEQaq,0.379,0.108,84.996,0.0865,0.841,0.852,4,0.739,1,127059,-9.422,0.221,0
4ng2LSEKmQ1s1jL3FGmI2j,0.166,0.131,78.024,0.051,0.808,0.753,4,0.786,9,142508,-10.611,0.333,1
1btRTBBwpv0ISGB0LScgz2,0.828,0.154,80.003,0.0743,0.101,0.823,4,0.585,7,96000,-10.719,0.489,0
4SWNsSXHBxrwaOr4yP8xV5,0.461,0.114,92.553,0.0545,0.639,0.902,4,0.774,0,131235,-9.117,0.668,1
3rDpqMkNK2YLWlGF8bKBmh,0.593,0.205,161.022,0.0657,0.148,0.888,4,0.768,1,196770,-8.73,0.783,1
5YO3Vqve61SxDVy9kynuas,0.504,0.376,84.996,0.132,0.727,0.939,4,0.719,5,116848,-9.019,0.441,1
1HdY90S677tBxCIglQs8rB,0.366,0.0997,67.951,0.319,0.841,0.635,3,0.673,4,143603,-10.838,0.558,0
1cfqOZQ4RDSf13bU3YiiHn,0.0979,0.127,80.991,0.0324,0.64,0.924,4,0.586,0,142718,-19.274,0.111,0
0tFutaV60AviDnHLPWoViG,0.293,0.132,139.982,0.0482,0.756,0.926,4,0.728,2,124954,-15.546,0.0928,0
04DplA83rbqQVqWjPFYSpC,0.233,0.147,136.649,0.162,0.936,0.902,4,0.585,3,113250,-21.129,0.254,0
2eZH0lbqNKshdIhyNVxhrE,0.306,0.11,130.03,0.285,0.882,0.846,4,0.847,8,103385,-16.161,0.347,1
5UgCKTRv3o4HrS5gOLUN4b,0.214,0.179,79.99,0.0436,0.958,0.912,4,0.631,7,141000,-20.236,0.193,1
4OyKGxXkpoW7jtm0lZKLUc,0.124,0.131,124.989,0.232,0.862,0.829,4,0.848,0,127200,-15.996,0.156,0
4CUcBdtk6vfz1AEantq8Yh,0.322,0.0768,156.647,0.0741,0.58,0.951,4,0.591,7,124808,-9.765,0.42,0
1uo9OToT1FDYSVWfWpwhO8,0.36,0.0862,159.945,0.0466,0.517,0.792,4,0.71,9,156000,-10.702,0.281,0
78EMR78yK77l8ZHOxHOF3P,0.465,0.118,77.961,0.079,0.543,0.637,4,0.566,1,115385,-10.762,0.167,1
