id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0uPkCpuoERqrkBL06Art50,0.0676,0.14,115.713,0.0363,0.963,0.00291,3,0.474,9,295240,-16.101,0.248,0
0Wh99eifNTNqDFRtzWhCE2,0.132,0.246,127.355,0.0478,0.916,0.00101,4,0.52,0,256560,-17.857,0.377,1
0sCeNwt8xRCMR4NhKpMyBe,0.583,0.123,116.11,0.0284,0.749,0.000294,4,0.515,0,333947,-8.182,0.414,0
4vLYewWIvqHfKtJDk8c8tq,0.151,0.116,136.759,0.0376,0.706,0.00136,4,0.532,0,562640,-17.266,0.211,1
1pZn8AX1WulW8IO338hE5D,0.269,0.141,124.866,0.0698,0.982,0.12,4,0.639,8,207827,-11.435,0.539,1
33jt3kYWjQzqn3xyYQ5ZEh,0.264,0.1,122.482,0.0914,0.706,0.0,4,0.663,0,354533,-14.571,0.657,1
1ZXu0ib26kWfQQngREMcU2,0.42,0.185,147.143,0.06,0.186,0.00111,4,0.417,0,287844,-13.046,0.517,0
4m6OC8u2rC6LMFtFWsME7d,0.0454,0.2,99.783,0.0388,0.938,3.76e-05,4,0.501,0,166760,-18.783,0.255,1
4ol2UyMTiklHVujAWg02nE,0.0527,0.0882,49.689,0.0478,0.971,0.911,4,0.488,5,306227,-27.331,0.193,1
54h1RKrrFJDsNOfhwmqu9o,0.654,0.372,175.204,0.0659,0.824,0.917,4,0.463,8,209573,-9.72,0.592,1
7Kc3hZoCRTs5dNHU7GqT9x,0.133,0.0966,62.14,0.0421,0.879,0.0,3,0.716,0,140520,-15.846,0.551,1
6MN6yRVriszuyAVlyF8ndB,0.472,0.224,80.487,0.0298,0.785,0.284,4,0.685,9,205720,-9.691,0.475,0
0Rk9byjmZksAJX15onGns5,0.231,0.142,73.103,0.0812,0.805,0.0,4,0.558,5,167493,-11.436,0.403,0
4rmCI9VWrwrJTJ8XQ80BMN,0.187,0.161,70.334,0.0323,0.942,0.139,4,0.372,0,319733,-13.497,0.217,0
